ID;Tên sản phẩm;Tên tiếng Anh;Hình ảnh;Mã sản phẩm;Mã vạch;Đơn vị tính;Thuế bán hàng;Giá vốn;Giá bán;Trạng thái;Mô tả;Mô tả (ENG);Danh mục sản phẩm;Loại sản phẩm
fda6c243-1968-4f84-9d41-738514039cd2;BÁNH TRÁNG MÈ;;;;;Cái;Không chịu thuế GTGT bán hàng;0.000000;17000.000000;1;;;KHAI VỊ;Lưu kho
8e04e060-7183-406e-9f78-77028855ecb0;BẮP CÒI HẤP;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;KHAI VỊ;Dịch vụ
8e5ade59-aeb7-43be-94a4-59479a1e2266;BẮP XÀO HÀNH;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;KHAI VỊ;Dịch vụ
469f5db0-1725-4eb4-9e1d-44ee635998c9;BIVINA EXPORT LON;;;;;Lon;Không chịu thuế GTGT bán hàng;0.000000;16000.000000;1;;;BIA RƯỢU;Lưu kho
29256da9-7ba0-4837-b515-de4ad8fd645c;CÁ CHÉP NẤU RIÊU;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CÁ;Dịch vụ
165b8ac0-df6a-46ed-a6ed-37332e8a021d;CẢI XANH XÀO TỎI;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;50000.000000;1;;;KHAI VỊ;Dịch vụ
1fe00739-16e5-46a1-ac60-6685c97643fc;CÁ LÓC CHIÊN XÙ;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CÁ;Dịch vụ
ea0f7a48-9def-4174-ad4b-07f5b8f7c693;CÁ LÓC HẤP BẦU;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CÁ;Dịch vụ
a164c069-0fed-49a7-b694-7fa656a19c7a;CÁ LÓC HẤP XÌ DẦU;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CÁ;Dịch vụ
682567e3-2000-48ae-8626-afa8fe7b0944;CÁ LÓC UM CHUỐI;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CÁ;Dịch vụ
8c054084-b936-4f3c-896c-eadc7fc01688;CANH CHAY;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;75000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
638bdbda-ae31-4f52-b200-5af69d9220c0;CANH CHUA BÔNG LÂU;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;120000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
4671d2c4-41be-444a-8492-1418d9a8e4be;CANH CHUA CÁ CHỐT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;155000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
a129f8c9-c057-4b3a-bf7e-f9d5b6500faf;CANH CHUA CÁ LÓC;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;220000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
3016e249-d3ec-419b-8593-930ac5827f8c;CANH CHUA CHAY;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;75000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
fd91d306-9065-4ce6-b668-6b39020796d5;CANH CHUA THỊT BẰM;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;75000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
4b0c0fe5-a568-454a-8480-aac06cbeb9c4;CÁNH GÀ NƯỚNG MUỐI ỚT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;90000.000000;1;;;GÀ;Dịch vụ
29d1d912-3fe8-4210-94ad-62b110cea8a0;CANH KHỔ QUA BỒ CÂU;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;110000.000000;1;;;BỒ CÂU;Dịch vụ
13a1627e-93c8-449f-a59a-50dcae4314d9;CANH KHỔ QUA NHỒI THỊT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;130000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
94c37790-7e5c-4808-8e22-6bcf2fddf626;CANH KHỔ QUA THÁC LÁC;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;120000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
51465018-0328-4b29-b407-9d1bdd23d060;CANH RAU CẢI XANH;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;75000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
76439509-dfe4-4fea-bddd-aa8aa430a687;CANH RAU CHẢ CÁ;;;;;phần;Không chịu thuế GTGT bán hàng;0.000000;150000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
65fe7384-98be-4d50-b1c3-2a5e7106af94;CANH RAU CUA;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;110000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
9d60ac5a-c4d0-4b68-9876-fca4df4d0aa3;CANH RIÊU CUA;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;120000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
ba4b1fb0-54d1-4009-916d-9e119a49adc0;CANH RIÊU CUA TẬP TÀN;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;120000.000000;1;;;THỰC ĐƠN CƠM;Dịch vụ
58fef0ee-305a-4555-9376-a7423aa6d060;CÀ TÍM MỠ HÀNH;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;KHAI VỊ;Dịch vụ
c002e8cb-66bb-4ac0-8b64-ed1ce7dbcb37;CHẢ CÁ THÁC LÁC CHIÊN ĐẦU HÀNH;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;135000.000000;1;;;KHAI VỊ;Dịch vụ
1f184c6f-5690-4bbe-b311-cae570799321;CHÁO CÁ LÓC PHI LÊ NGUYÊN CON;;;;;Kg;Không chịu thuế GTGT bán hàng;0.000000;235000.000000;1;;;CHÁO;Dịch vụ
c9797e11-ad34-4960-a3b6-39ca98a0a9c3;CHÁO LƯƠN ĐẬU XANH;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;125000.000000;1;;;CHÁO;Dịch vụ
2fdda970-7963-468c-9e3f-e28b223897c4;CƠM CHIÊN MUỐI É;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;60000.000000;1;;;CƠM;Dịch vụ
22ce1e11-30ac-43fc-bb75-c1e209d764ee;CƠM CHIÊN MUỐI ỚT;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;60000.000000;1;;;CƠM;Dịch vụ
68e134f0-bb7d-428f-a0f9-ea5f104d5471;CƠM CHIÊN TRỨNG;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;65000.000000;1;;;CƠM;Dịch vụ
7c1f87a8-a784-41d8-a7bc-b880a99e1bbc;ĐẬU HỦ CHIÊN/HẤP;;;;;Phần;Không chịu thuế GTGT bán hàng;0.000000;55000.000000;1;;;KHAI VỊ;Dịch vụ
